thread_id,subject,from,timestamp_of_last_message,email_link,chatgpt_output
18c3290308081166,Coaching call,coaching@coach.com,2023-12-04 00:52:45+00:00,https://mail.google.com/mail/u/0/#inbox/18c2e634f0136203,"{'next_step': 'digest', 'action': 'None', 'summary': 'The email is a reminder for a monthly coaching call scheduled for 1pm AEDT tomorrow. The session will provide strategies and tools for managing boundaries and getting rest during the holiday season. The recipient is also encouraged to invite friends or colleagues who could benefit from the session.', 'effort': 'None', 'deadline': 'None', 'constraint': 'None'}"
18c324f159375279,[Slack] New messages from Casey Caruso and Stella Liu in HACKHERS,notification@slack.com,2023-12-04 00:51:32+00:00,https://mail.google.com/mail/u/0/#inbox/18c324f159375279,"{'next_step': 'review', 'action': ""Respond to Casey Caruso's message with an emoji if interested in trying the cacao based collagen drink. Also, respond to Stella Liu's message with an emoji if interested in yoga or mindfulness chat."", 'summary': 'Casey Caruso has offered all teams $100 in GPU credits and is taking requests for a homemade cacao based collagen drink. Stella Liu, a certified yoga instructor, is offering mindfulness sessions and will be available until 3pm.', 'effort': 'low', 'deadline': ""Before 3pm on December 3rd for Stella Liu's offer, no specific deadline for Casey Caruso's offers."", 'constraint': ['Casey Caruso can be contacted via direct message for the GPU credits code.', 'Stella Liu will be available until 3pm on the couches where fireside chat was.']}"
18c2c76ceeea665d,"Your AutoPay payment is scheduled for December 6, 2023",capitalone@notification.capitalone.com,2023-12-02 21:37:12+00:00,https://mail.google.com/mail/u/0/#inbox/18c2c76ceeea665d,"{'next_step': 'todo', 'action': 'Ensure necessary funds are available for the scheduled AutoPay payment.', 'summary': 'Capital One has scheduled an AutoPay payment for December 6, 2023.', 'effort': 'low', 'deadline': 'Before December 6, 2023', 'constraint': 'None'}"
18c2bbbe5f10c499,Important Info about Trevor Noah: Off The Record this Tuesday at The Masonic,reply@email.livenation.com,2023-12-02 12:12:55-06:00,https://mail.google.com/mail/u/0/#inbox/18c2bbbe5f10c499,"{'next_step': 'digest', 'action': 'Read the important info about the upcoming Trevor Noah: Off The Record event at The Masonic this Tuesday.', 'summary': 'There is important information about the upcoming Trevor Noah: Off The Record event at The Masonic this Tuesday from Live Nation.', 'effort': 'low', 'deadline': 'Before the event on Tuesday', 'constraint': 'None'}"
18c25fb0e806f617,A Ben Lomond listing at $900K and 8 more listings,reply-to-agent@realscout.com,2023-12-01 15:24:17+00:00,https://mail.google.com/mail/u/0/#inbox/18c25fb0e806f617,"{'next_step': 'review', 'action': 'Review the new real estate listings from RealScout.', 'summary': 'RealScout has sent 9 new listings, including a $900k listing in Ben Lomond.', 'effort': 'medium', 'deadline': 'None', 'constraint': 'None'}"
18c25bfe9b82680c,Kiley just messaged you,messaging-digest-noreply@linkedin.com,2023-12-01 14:19:36+00:00,https://mail.google.com/mail/u/0/#inbox/18c25bfe9b82680c,"{'next_step': 'todo', 'action': 'Respond to the message received from Kiley on LinkedIn.', 'summary': 'There is a new message from Kiley on LinkedIn.', 'effort': 'low', 'deadline': 'Within three days', 'constraint': 'LinkedIn account required.'}"
18c25810264c6dab,📅 Just scheduled: How to Prepare Your Job Search for 2024,info@meetup.com,2023-12-01 13:10:59+00:00,https://mail.google.com/mail/u/0/#inbox/18c25810264c6dab,"{'next_step': 'review', 'action': 'Consider attending the scheduled Meetup event on how to prepare your job search for 2024.', 'summary': 'A new job search preparation event for 2024 has been scheduled on Meetup.', 'effort': 'low', 'deadline': 'Before the scheduled event', 'constraint': 'None'}"
18c23780e189a004,“senior engineer”: Rocket Money (formerly Truebill) - Senior Growth Engineer and more,jobalerts-noreply@linkedin.com,2023-12-01 03:41:54+00:00,https://mail.google.com/mail/u/0/#inbox/18c23780e189a004,"{'next_step': 'review', 'action': 'Consider applying for the senior growth engineer position at Rocket Money (formerly Truebill).', 'summary': 'LinkedIn job alert for a senior engineer position at Rocket Money (formerly Truebill).', 'effort': 'high', 'deadline': 'Before the application deadline', 'constraint': 'None'}"
18c2351e8065a67f,Put Your Career on the Map? 📍,inmail-hit-reply@linkedin.com,2023-12-01 03:00:18+00:00,https://mail.google.com/mail/u/0/#inbox/18c2351e8065a67f,"{'next_step': 'review', 'action': 'Consider the offer to put your career on the map.', 'summary': 'Received a LinkedIn inmail with a proposition to enhance your career.', 'effort': 'medium', 'deadline': 'None', 'constraint': 'None'}"
18c2337bddbae200,Data Science Weekly - Issue 523,datascienceweekly@substack.com,2023-12-01 02:30:58+00:00,https://mail.google.com/mail/u/0/#inbox/18c2337bddbae200,"{'next_step': 'review', 'action': 'None', 'summary': 'The 523rd issue of Data Science Weekly newsletter is now available.', 'effort': 'None', 'deadline': 'None', 'constraint': 'None'}"
18c228011f4a592c,Winter/Spring Internship Opportunities at Atlassian,messages-noreply@linkedin.com,2023-11-30 23:11:06+00:00,https://mail.google.com/mail/u/0/#inbox/18c228011f4a592c,"{'next_step': 'todo', 'action': 'Consider applying for the winter/spring internships at Atlassian.', 'summary': 'There are internship opportunities for winter/spring at Atlassian.', 'effort': 'high', 'deadline': 'Before the application deadline', 'constraint': 'None'}"
